title,release_year,category,duration,country,type,rating,Year,Content spend ($bn),Revenue ($bn),Gross Profit ($bn),Net Income ($bn),Paid Subscribers (mm)
God's Not Dead,2014,"Dramas, Faith & Spirituality",113 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Good Kill,2014,Dramas,103 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Good People,2014,"Action & Adventure, Thrillers",90 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Hadi İnşallah,2014,"Comedies, International Movies, Romantic Movies",95 min,Turkey,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Happy Times,2014,"Comedies, International Movies, Romantic Movies",79 min,Mexico,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Hungerford,2014,"Horror Movies, Independent Movies, International Movies",79 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
I Fine... Thank You... Love You,2014,"Comedies, International Movies, Romantic Movies",116 min,Thailand,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Iceman,2014,"Action & Adventure, International Movies, Sci-Fi & Fantasy",104 min,China,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Incir Receli 2,2014,"Dramas, International Movies, Romantic Movies",103 min,Turkey,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
INDIA,2014,"Dramas, Independent Movies, International Movies",95 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Iron Man & Captain America: Heroes United,2014,"Children & Family Movies, Sci-Fi & Fantasy",71 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Iverson,2014,"Documentaries, Sports Movies",88 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Jersey Boys,2014,"Dramas, Music & Musicals",134 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Kahlil Gibran's The Prophet,2014,"Children & Family Movies, Dramas",85 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Ken Burns: The Roosevelts: An Intimate History,2014,Docuseries,1 Season,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Kilo Two Bravo,2014,"Dramas, Independent Movies, Thrillers",109 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Kraftidioten,2014,"Comedies, International Movies, Thrillers",117 min,Norway,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Le serment des Hitler,2014,"Documentaries, International Movies",54 min,France,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Left Behind,2014,"Action & Adventure, Faith & Spirituality, Sci-Fi & Fantasy",110 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Secrets of Selfridges,2014,Documentaries,55 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Leyla and Mecnun,2014,"International TV Shows, Romantic TV Shows, TV Comedies",3 Seasons,Turkey,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Life After Beth,2014,"Comedies, Horror Movies, Independent Movies",89 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
License to Drill: Louisiana,2014,Reality TV,1 Season,Canada,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Lizzie Borden Took an Ax,2014,Thrillers,87 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
"Love, Rosie",2014,"Comedies, International Movies, Romantic Movies",103 min,Germany,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Macchli Jal Ki Rani Hai,2014,"Horror Movies, International Movies",118 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Manglehorn,2014,"Dramas, Independent Movies",97 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Manhattan Romance,2014,"Comedies, Independent Movies, Romantic Movies",98 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Marvel & ESPN Films Present: 1 of 1: Genesis,2014,"Documentaries, Sports Movies",77 min,Not Given,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
May We Chat,2014,"Dramas, International Movies",99 min,Hong Kong,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Miss Julie,2014,"Dramas, International Movies",130 min,Norway,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Mission: Destroy Love,2014,"Comedies, International Movies, Romantic Movies",93 min,Malaysia,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Momo Salon,2014,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,South Korea,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Monster High: Freaky Fusion,2014,Children & Family Movies,74 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
"Monster High: Frights, Camera, Action!",2014,Children & Family Movies,74 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Mune: Guardian of the Moon,2014,Children & Family Movies,85 min,France,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Muppets Most Wanted,2014,"Children & Family Movies, Comedies",110 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
My Little Pony Equestria Girls: Rainbow Rocks,2014,"Children & Family Movies, Comedies",73 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
My Wife and My Wifey,2014,"Comedies, International Movies",99 min,Not Given,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Nightcrawler,2014,"Dramas, Independent Movies, Thrillers",118 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Obvious Child,2014,"Comedies, Dramas, Independent Movies",84 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Ottaal,2014,"Dramas, International Movies",88 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Patron Mutlu Son Istiyor,2014,"Comedies, International Movies, Romantic Movies",105 min,Turkey,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Power Rangers Super Megaforce: The Legendary Battle (Extended),2014,Movies,55 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Punjab 1984,2014,"Dramas, International Movies",158 min,Canada,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Revenge of the Green Dragons,2014,"Action & Adventure, Dramas, Independent Movies",95 min,Hong Kong,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Roh's Beauty,2014,"Dramas, International Movies",98 min,Egypt,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Romeo Ranjha,2014,"Action & Adventure, Comedies, Music & Musicals",122 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Sadece Sen,2014,"Dramas, International Movies, Romantic Movies",105 min,Turkey,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Sadqay Tumhare,2014,"International TV Shows, Romantic TV Shows, TV Dramas",1 Season,Pakistan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Salem: His Sister's Father,2014,"Dramas, International Movies",99 min,Egypt,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Santa Claws,2014,"Children & Family Movies, Comedies",86 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Secrets of Her Majesty's Secret Service,2014,"Documentaries, International Movies",55 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Say When,2014,"Comedies, Dramas, Independent Movies",99 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Secrets of Underground London,2014,"Documentaries, International Movies",55 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Secrets of Westminster,2014,"Documentaries, International Movies",55 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Siddhant,2014,"Dramas, Independent Movies, International Movies",105 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Skin Trade,2014,Action & Adventure,96 min,Thailand,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Skydancers,2014,"Documentaries, Sports Movies",49 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Son of a Gun,2014,"Action & Adventure, Dramas, Independent Movies",109 min,Australia,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Stonehearst Asylum,2014,"Horror Movies, Thrillers",113 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Stop at Nothing: The Lance Armstrong Story,2014,"Documentaries, International Movies, Sports Movies",100 min,Australia,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Suicide (Hitabdut),2014,"International Movies, Thrillers",114 min,Israel,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Suite Française,2014,"Dramas, International Movies, Romantic Movies",107 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Sunrise,2014,"Dramas, Independent Movies, International Movies",85 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Super Nani,2014,"Comedies, Dramas, International Movies",127 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Tamanchey,2014,"Action & Adventure, International Movies, Romantic Movies",111 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Captive,2014,"Dramas, Thrillers",112 min,Canada,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The First Line,2014,"Dramas, Independent Movies",87 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Forgotten,2014,Horror Movies,89 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Gospel of Matthew,2014,"Dramas, Faith & Spirituality",190 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Gospel of John,2014,"Dramas, Faith & Spirituality",161 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Hundred-Foot Journey,2014,"Comedies, Dramas",123 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Incident,2014,"International Movies, Sci-Fi & Fantasy, Thrillers",100 min,Mexico,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Last Man on the Moon,2014,Documentaries,96 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Look of Silence,2014,"Documentaries, International Movies",103 min,Denmark,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The One I Love,2014,"Comedies, Dramas, Independent Movies",91 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Pirate Fairy,2014,Children & Family Movies,78 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Prince,2014,Action & Adventure,91 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Riot Club,2014,"Dramas, International Movies",107 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Rover,2014,"International Movies, Thrillers",103 min,Australia,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Salvation,2014,"Dramas, Independent Movies, International Movies",92 min,Denmark,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Seven Five,2014,Documentaries,104 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Shaukeens,2014,"Comedies, International Movies, Music & Musicals",123 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Signal,2014,"Sci-Fi & Fantasy, Thrillers",97 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Water Diviner,2014,"Dramas, International Movies",111 min,Australia,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Tinker Bell and the Legend of the NeverBeast,2014,Children & Family Movies,78 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Transcendence,2014,"Sci-Fi & Fantasy, Thrillers",119 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Trash,2014,"Dramas, Independent Movies, Thrillers",114 min,United Kingdom,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Trip to Bhangarh: Asia's Most Haunted Place,2014,"International Movies, Thrillers",113 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Tusk,2014,Horror Movies,102 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Vitti Dandu,2014,"Dramas, International Movies",116 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Warda,2014,"Horror Movies, Independent Movies, International Movies",73 min,Egypt,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Welcome to New York,2014,"Dramas, Independent Movies",108 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Wish I Was Here,2014,"Comedies, Dramas, Independent Movies",106 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Yellowbird,2014,"Children & Family Movies, Comedies",90 min,France,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Zed Plus,2014,"Comedies, Dramas, International Movies",131 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Life Story,2014,"British TV Shows, Docuseries, Science & Nature TV",1 Season,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Dharmakshetra,2014,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1 Season,India,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Raja Rasoi Aur Anya Kahaniyan,2014,"Docuseries, International TV Shows",1 Season,India,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Hunter X Hunter (2011),2014,"Anime Series, International TV Shows",6 Seasons,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Free to Play,2014,Documentaries,76 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Black Ink Crew New York,2014,Reality TV,2 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Are You The One,2014,Reality TV,2 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Survivor,2014,Reality TV,2 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Takki,2014,"International TV Shows, TV Dramas",2 Seasons,Saudi Arabia,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Legend of Korra,2014,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",4 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Nagi-Asu: A Lull in the Sea,2014,"Anime Series, Romantic TV Shows, Teen TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Midnight Diner,2014,"International TV Shows, TV Dramas",3 Seasons,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Parasyte: The Maxim,2014,"Anime Series, International TV Shows, TV Horror",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Monthly Girls' Nozaki Kun,2014,"Anime Series, Romantic TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Akame ga Kill!,2014,"Anime Series, Crime TV Shows, International TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
No Game No Life,2014,"Anime Series, International TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Shopkins,2014,Kids' TV,1 Season,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Sam & Cat,2014,"Kids' TV, TV Comedies",2 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
100 Things to do Before High School,2014,Movies,44 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
"Love, Chunibyo & Other Delusions!",2014,"Anime Series, Romantic TV Shows, Teen TV Shows",2 Seasons,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Bad Guys,2014,"Crime TV Shows, International TV Shows, Korean TV Shows",1 Season,South Korea,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Misaeng,2014,"International TV Shows, Korean TV Shows, TV Dramas",1 Season,South Korea,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Kill la Kill,2014,"Anime Series, International TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Angel 'N' Devil,2014,"International TV Shows, TV Action & Adventure, TV Comedies",1 Season,Taiwan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Yeh Hai Bakrapur,2014,"Comedies, Dramas, Independent Movies",95 min,India,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Monty Python Best Bits (mostly),2014,"British TV Shows, Docuseries, TV Comedies",1 Season,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Mobile Suit Gundam UC,2014,"Anime Series, International TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Irregular at Magic High School,2014,"Anime Series, International TV Shows, Teen TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Entangled,2014,"International TV Shows, TV Dramas",1 Season,South Korea,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Locust,2014,"Crime TV Shows, International TV Shows, Romantic TV Shows",1 Season,Russia,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Against the Tide,2014,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,Singapore,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Mystic Whispers,2014,"International TV Shows, TV Dramas, TV Horror",1 Season,Singapore,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
World at Your Feet,2014,"International TV Shows, TV Dramas",1 Season,Singapore,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Yes We Can!,2014,"International TV Shows, TV Dramas",1 Season,Singapore,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Pac-Man and the Ghostly Adventures,2014,"Kids' TV, TV Comedies",2 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Spice Up,2014,"International TV Shows, Romantic TV Shows, TV Dramas",1 Season,Pakistan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Fall in Love with Me,2014,"International TV Shows, Romantic TV Shows, TV Comedies",1 Season,Taiwan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Love Cheque Charge,2014,"International TV Shows, Romantic TV Shows, TV Comedies",1 Season,Taiwan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Your lie in April,2014,"Anime Series, International TV Shows, Romantic TV Shows",1 Season,Japan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Sammy & Co,2014,"Kids' TV, TV Comedies",1 Season,France,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014,Movies,26 min,United States,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Lilyhammer,2014,"Crime TV Shows, TV Comedies, TV Dramas",3 Seasons,Norway,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
12 Years Promise,2014,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,South Korea,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Ainsley Eats the Streets,2014,"British TV Shows, Docuseries, International TV Shows",1 Season,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Alphablocks,2014,Kids' TV,5 Seasons,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
America's Book of Secrets,2014,Docuseries,1 Season,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Bad Education,2014,"British TV Shows, TV Comedies",3 Seasons,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Black Heart,2014,"Crime TV Shows, International TV Shows, TV Dramas",1 Season,Turkey,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Braxton Family Values,2014,Reality TV,2 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Camp X,2014,Docuseries,1 Season,Canada,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Earth to Luna!,2014,Kids' TV,1 Season,Brazil,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Fix It and Finish It,2014,Reality TV,3 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Everyday Miracles,2014,"British TV Shows, Docuseries, International TV Shows",1 Season,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Gangs of Hassepur,2014,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",1 Season,India,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Harold Shipman - Driven to Kill,2014,"British TV Shows, Crime TV Shows, Docuseries",1 Season,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Hart of Dixie,2014,"TV Comedies, TV Dramas",4 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Idiotest,2014,"Reality TV, TV Comedies",1 Season,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Islands of the Future,2014,"Docuseries, International TV Shows, Science & Nature TV",1 Season,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Julius Jr.,2014,Kids' TV,2 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Jake's Buccaneer Blast,2014,Movies,22 min,Pakistan,Movie,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Kurt Seyit & Sura,2014,"International TV Shows, Romantic TV Shows, TV Dramas",1 Season,Turkey,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Mad Men,2014,TV Dramas,7 Seasons,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Maharakshak: Aryan,2014,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",1 Season,India,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Mini Wolf,2014,Kids' TV,2 Seasons,France,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Monkey Planet,2014,"British TV Shows, Docuseries, Science & Nature TV",1 Season,United Kingdom,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Oh No! It's an Alien Invasion,2014,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2 Seasons,Canada,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Pyaar Tune Kya Kiya,2014,"International TV Shows, Romantic TV Shows, TV Dramas",3 Seasons,India,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Power Rangers Super Megaforce,2014,Kids' TV,1 Season,Pakistan,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Republic of Doyle,2014,"Crime TV Shows, TV Comedies, TV Dramas",6 Seasons,Canada,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Secret Affair,2014,"International TV Shows, Korean TV Shows, Romantic TV Shows",1 Season,South Korea,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Space Racers,2014,Kids' TV,1 Season,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Star-Crossed,2014,"Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1 Season,United States,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Apartment,2014,"International TV Shows, Reality TV",2 Seasons,Singapore,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
ThirTEEN Terrors,2014,"International TV Shows, TV Horror, TV Mysteries",1 Season,Thailand,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Tip the Mouse,2014,Kids' TV,1 Season,Germany,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Wartime Portraits,2014,"Docuseries, International TV Shows",1 Season,Poland,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Winter Sun,2014,"International TV Shows, TV Dramas, TV Thrillers",1 Season,Turkey,TV Show,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Outlander,2014,"Drama, Fantasy, Romance",60 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Fargo,2014,"Crime, Drama, Thriller",53 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The Flash,2014,"Action, Adventure, Drama",43 min,Not Given,Unknown,TV-PG,2014,0.0,5.5,1.8,0.27,54.47
BoJack Horseman,2014,"Animation, Comedy, Drama",25 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
The 100,2014,"Drama, Mystery, Sci-Fi",43 min,Not Given,Unknown,TV-14,2014,0.0,5.5,1.8,0.27,54.47
Gotham,2014,"Action, Crime, Drama",42 min,Not Given,Unknown,TV-14,2014,0.0,5.5,1.8,0.27,54.47
Gone Girl,2014,"Drama, Mystery, Thriller",149 min,Not Given,Unknown,R,2014,0.0,5.5,1.8,0.27,54.47
How to Get Away with Murder,2014,"Crime, Drama, Mystery",43 min,Not Given,Unknown,TV-14,2014,0.0,5.5,1.8,0.27,54.47
Black Sails,2014,"Action, Adventure, Drama",56 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Scorpion,2014,"Action, Crime, Drama",43 min,Not Given,Unknown,TV-14,2014,0.0,5.5,1.8,0.27,54.47
Jane the Virgin,2014,Comedy,60 min,Not Given,Unknown,TV-PG,2014,0.0,5.5,1.8,0.27,54.47
The Affair,2014,Drama,60 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Penny Dreadful,2014,"Drama, Fantasy, Horror",60 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Happy Valley,2014,"Crime, Drama, Thriller",58 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
Madam Secretary,2014,"Drama, Thriller",45 min,Not Given,Unknown,TV-PG,2014,0.0,5.5,1.8,0.27,54.47
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",119 min,Not Given,Unknown,R,2014,0.0,5.5,1.8,0.27,54.47
Dirilis: Ertugrul,2014,"Action, Adventure, Drama",120 min,Not Given,Unknown,TV-14,2014,0.0,5.5,1.8,0.27,54.47
The Missing,2014,"Crime, Drama, Mystery",60 min,Not Given,Unknown,TV-14,2014,0.0,5.5,1.8,0.27,54.47
When Calls the Heart,2014,"Drama, History, Romance",43 min,Not Given,Unknown,TV-G,2014,0.0,5.5,1.8,0.27,54.47
Lucy,2014,"Action, Sci-Fi, Thriller",89 min,Not Given,Unknown,R,2014,0.0,5.5,1.8,0.27,54.47
Henry Danger,2014,"Action, Comedy, Family",30 min,Not Given,Unknown,TV-G,2014,0.0,5.5,1.8,0.27,54.47
Kingdom,2014,"Drama, Sport",43 min,Not Given,Unknown,TV-MA,2014,0.0,5.5,1.8,0.27,54.47
300: Rise of an Empire,2014,"Action, Drama",102 min,Not Given,Unknown,R,2014,0.0,5.5,1.8,0.27,54.47
