title,release_year,category,duration,country,type,rating,Year,Content spend ($bn),Revenue ($bn),Gross Profit ($bn),Net Income ($bn),Paid Subscribers (mm)
Hating Peter Tatchell,2020,"Documentaries, International Movies, LGBTQ Movies",91 min,Australia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Love or Money,2020,"Dramas, International Movies, Romantic Movies",116 min,Philippines,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Strain,2020,"Dramas, International Movies",107 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Mystic River,2020,"International TV Shows, TV Horror, TV Sci-Fi & Fantasy",1 Season,Not Given,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Wave of Cinema: Filosofi Kopi,2020,"Documentaries, International Movies, Music & Musicals",64 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Strange House,2020,"Horror Movies, International Movies, Thrillers",100 min,Austria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Illegal Woman,2020,"Dramas, International Movies",119 min,Spain,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Dear Affy,2020,"Comedies, Dramas, International Movies",126 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
In Our Mothers' Gardens,2020,Documentaries,85 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Time to Dance,2020,"Dramas, International Movies, Romantic Movies",107 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
And Tomorrow the Entire World,2020,"Dramas, International Movies, Thrillers",112 min,Germany,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Aliens Stole My Body,2020,"Children & Family Movies, Comedies",88 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Sitting in Limbo,2020,"Dramas, International Movies",89 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
One,2020,"Dramas, International Movies",149 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
One Like It,2020,"Dramas, Independent Movies, International Movies",15 min,Egypt,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Perfume Imaginary Museum “Time Warp”,2020,"International Movies, Music & Musicals",54 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Wild Dog,2020,"Action & Adventure, International Movies",126 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
This Lady Called Life,2020,"Dramas, International Movies, Romantic Movies",120 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Rudra: Secret of the Black Moon,2020,Children & Family Movies,87 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Four Sisters Before the Wedding,2020,"Children & Family Movies, Comedies, Dramas",116 min,Philippines,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Into the Beat,2020,"Dramas, International Movies, Romantic Movies",102 min,Germany,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Synchronic,2020,Thrillers,102 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Dark City Beneath the Beat,2020,"Documentaries, Music & Musicals",65 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Underclass,2020,"International TV Shows, TV Dramas, Teen TV Shows",1 Season,Thailand,TV Show,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Wave of Cinema: One Day We'll Talk About Today,2020,"Documentaries, International Movies, Music & Musicals",71 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Uppena,2020,"Dramas, International Movies, Romantic Movies",145 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Stand-In,2020,Comedies,102 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Story of Kale: When Someone's in Love,2020,"Dramas, International Movies, Romantic Movies",78 min,Indonesia,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Coded Bias,2020,Documentaries,86 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Fisherman's Diary,2020,"Dramas, International Movies",143 min,Cameroon,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
What Lies Below,2020,"Horror Movies, Thrillers",88 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Madam Chief Minister,2020,"Dramas, International Movies",121 min,India,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Not a Game,2020,"Documentaries, International Movies, Sports Movies",98 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Keeping the Bees,2020,"Dramas, International Movies",93 min,Turkey,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Ni de coña,2020,"Comedies, International Movies",97 min,Spain,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Reframe THEATER EXPERIENCE with you,2020,"International Movies, Music & Musicals",84 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Any Crybabies Around?,2020,"Dramas, International Movies",108 min,Japan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Hospital,2020,"Horror Movies, International Movies",90 min,Taiwan,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Jiu Jitsu,2020,Action & Adventure,102 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Who's the Boss,2020,"Comedies, International Movies, Romantic Movies",106 min,Nigeria,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Skylines,2020,Action & Adventure,113 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Present,2020,"Dramas, International Movies",24 min,United Kingdom,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
The Last Blockbuster,2020,Documentaries,87 min,United States,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Just In Time,2020,"Comedies, Dramas, International Movies",92 min,Kenya,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
Audrey,2020,Documentaries,101 min,Not Given,Movie,TV-MA,2020,11.8,24.9,9.7,2.7,203.66
